position_bin,token_class,residual_norm_bin,residual_gain_bin,support_count_bin,topk2_active_rank_proxy,topk1_active_rank_proxy,topk2_row_count,topk1_row_count,topk2_router_support_count_mean,topk1_router_support_count_mean,topk2_router_loss_mean,topk1_router_loss_mean,topk2_fixed_support_loss_delta_mean,topk1_fixed_support_loss_delta_mean,topk2_fixed_delta_minus_topk1,topk2_fixed_support_logit_mse_mean,topk1_fixed_support_logit_mse_mean,topk2_logit_mse_minus_topk1,topk2_residual_stream_l2_delta_mean,topk1_residual_stream_l2_delta_mean,topk2_residual_stream_l2_delta_minus_topk1,topk2_pair_synergy_mean
even,common_target,low,mid,low,2,1,36,78,11.972222222222221,13.0,2.553586734665765,2.903621037036945,1.5021009975009494,1.3337031579934633,0.1683978395074861,0.28806755277845597,0.3396034384003052,-0.05153588562184924,6.071090181668599,6.707959499114599,-0.6368693174460001,0.14950784047444662
even,common_target,low,mid,mid,2,1,28,47,16.0,15.02127659574468,2.4675618537834714,2.7195351745219942,1.631725869008473,1.4606799153571433,0.1710459536513298,0.2933647893369198,0.2988149885167467,-0.00545019917982692,6.108595558575222,6.629877323799945,-0.5212817652247228,0.23796014274869645
even,common_target,mid,high,low,2,1,61,12,11.688524590163935,13.0,2.9577281221014555,2.532966842254003,0.8149341657513478,0.9649414519468943,-0.15000728619554649,0.1961420515521628,0.3551686257123947,-0.15902657416023191,4.183045238745017,6.676798423131307,-2.4937531843862892,0.22019979602000753
even,common_target,mid,low,low,2,1,46,13,12.043478260869565,13.0,2.409628049187038,2.8038195279928355,1.7491748851278555,1.816536078086266,-0.06736119295841059,0.3388084707700688,0.41239611919109637,-0.07358764842102755,6.2606412431468135,7.003505670107328,-0.7428644269605149,0.2040997432625812
even,common_target,mid,mid,low,2,1,62,3,11.935483870967742,13.0,2.540312280577998,2.662358363469442,1.7415186070626782,1.8901487191518147,-0.14863011208913646,0.2906725517203731,0.349648912747701,-0.058976361027327895,6.024154993795579,6.465150674184163,-0.4409956803885837,0.14036710800663119
even,rare_target,high,mid,low,2,1,11,1,11.727272727272727,13.0,3.1174995682456275,1.7013516426086426,1.1828141645951704,2.2717838287353516,-1.0889696641401811,0.32738948139277374,0.30417507886886597,0.023214402523907773,6.393196105957031,6.622239589691162,-0.22904348373413086,-0.1760158105330034
even,rare_target,low,high,high,2,1,6,36,18.0,19.0,2.49630335966746,2.9686303006278143,1.0218199888865154,0.9310223791334364,0.09079760975307893,0.26822154223918915,0.24054250824782583,0.027679033991363317,5.856494744618733,5.649768590927124,0.2067261536916094,0.11336580912272136
even,rare_target,low,high,low,2,1,24,75,12.041666666666666,13.0,3.097532421350479,2.7660094134012856,0.9338686366875967,1.0809229946136474,-0.1470543579260507,0.2430881323913733,0.2489638113975525,-0.005875679006179191,5.681951185067494,5.533843752543132,0.14810743252436254,0.009633084138234457
even,rare_target,low,high,mid,2,1,6,40,16.0,15.05,2.730741500854492,2.7308836758136747,0.9551135698954264,1.0244972705841064,-0.06938370068868005,0.22068181137243906,0.2306436873972416,-0.00996187602480253,5.754911025365193,5.436394000053406,0.31851702531178727,0.09356582164764404
even,rare_target,low,low,high,2,1,5,42,18.0,19.0,3.513255310058594,3.0535760607038225,1.5602269172668457,1.7114215464819045,-0.15119462921505877,0.3389738082885742,0.34058829290526255,-0.0016144846166883386,6.02843542098999,6.83031838280814,-0.8018829618181496,0.40078463554382326
