causal_feature_safe,control,empty_loss,fold,heldout_sequence_index,oracle_loss,oracle_regret_positive_fraction,positions,router_loss,router_minus_empty_loss,router_oracle_gap,support_router,top_k,unique_support_sets,used_columns,uses_future_context,variant
True,promoted_contextual_topk2,4.179549217224121,3,3,2.9087471961975098,1.0,63,3.0922322273254395,-1.0873169898986816,0.1834850311279297,contextual_mlp,2,50,20,False,causal_current_past_position
True,promoted_contextual_topk2,4.179549217224121,3,3,2.9087471961975098,1.0,63,3.1771440505981445,-1.0024051666259766,0.26839685440063477,contextual_mlp,2,48,20,False,current_hidden_only
True,promoted_contextual_topk2,4.179549217224121,3,3,2.9087471961975098,1.0,63,4.205543041229248,0.025993824005126953,1.2967958450317383,contextual_mlp,2,11,7,False,position_only
True,promoted_contextual_topk2,4.179549217224121,3,3,2.9087471961975098,1.0,63,3.2175772190093994,-0.9619719982147217,0.30883002281188965,contextual_mlp,2,50,20,False,past_context_only
True,linear_topk2_control,4.179549217224121,3,3,3.508723258972168,1.0,63,3.5241918563842773,-0.6553573608398438,0.015468597412109375,linear,2,27,12,False,linear_actual
True,causal_contextual_topk2,4.179549217224121,3,3,2.839665651321411,1.0,63,2.9174063205718994,-1.2621428966522217,0.07774066925048828,contextual_mlp_causal,2,54,23,False,actual_causal_context
True,causal_contextual_topk2,4.179549217224121,3,3,2.839665651321411,1.0,63,2.9174063205718994,-1.2621428966522217,0.07774066925048828,contextual_mlp_causal,2,54,23,False,causal_current_past_position
True,causal_contextual_topk2,4.179549217224121,3,3,2.839665651321411,1.0,63,2.9174063205718994,-1.2621428966522217,0.07774066925048828,contextual_mlp_causal,2,54,23,False,current_past_no_position
True,causal_contextual_topk2,4.179549217224121,3,3,2.839665651321411,1.0,63,3.043297290802002,-1.1362519264221191,0.20363163948059082,contextual_mlp_causal,2,47,22,False,current_hidden_only
True,causal_contextual_topk2,4.179549217224121,3,3,2.839665651321411,1.0,63,4.1243486404418945,-0.05520057678222656,1.2846829891204834,contextual_mlp_causal,2,13,8,False,position_only
True,causal_contextual_topk2,4.179549217224121,3,3,2.839665651321411,1.0,63,2.9392149448394775,-1.2403342723846436,0.0995492935180664,contextual_mlp_causal,2,54,23,False,past_context_only
False,contextual_topk1_control,4.179549217224121,3,3,2.9874989986419678,1.0,63,3.1300394535064697,-1.0495097637176514,0.14254045486450195,contextual_mlp,1,20,20,True,actual_full_context
True,contextual_topk1_control,4.179549217224121,3,3,2.9874989986419678,1.0,63,4.030686855316162,-0.14886236190795898,1.0431878566741943,contextual_mlp,1,18,18,False,causal_current_past_position
True,contextual_topk1_control,4.179549217224121,3,3,2.9874989986419678,1.0,63,4.147690773010254,-0.03185844421386719,1.1601917743682861,contextual_mlp,1,18,18,False,current_hidden_only
True,contextual_topk1_control,4.179549217224121,3,3,2.9874989986419678,1.0,63,4.281615257263184,0.1020660400390625,1.2941162586212158,contextual_mlp,1,5,5,False,position_only
True,contextual_topk1_control,4.179549217224121,3,3,2.9874989986419678,1.0,63,4.054208278656006,-0.12534093856811523,1.066709280014038,contextual_mlp,1,20,20,False,past_context_only
True,causal_contextual_topk1_control,4.179549217224121,3,3,3.0472347736358643,1.0,63,3.201188564300537,-0.978360652923584,0.15395379066467285,contextual_mlp_causal,1,21,21,False,actual_causal_context
True,causal_contextual_topk1_control,4.179549217224121,3,3,3.0472347736358643,1.0,63,3.201188564300537,-0.978360652923584,0.15395379066467285,contextual_mlp_causal,1,21,21,False,causal_current_past_position
True,causal_contextual_topk1_control,4.179549217224121,3,3,3.0472347736358643,1.0,63,3.1931941509246826,-0.9863550662994385,0.14595937728881836,contextual_mlp_causal,1,21,21,False,current_past_no_position
True,causal_contextual_topk1_control,4.179549217224121,3,3,3.0472347736358643,1.0,63,4.07424783706665,-0.1053013801574707,1.0270130634307861,contextual_mlp_causal,1,17,17,False,current_hidden_only
True,causal_contextual_topk1_control,4.179549217224121,3,3,3.0472347736358643,1.0,63,4.294652462005615,0.11510324478149414,1.247417688369751,contextual_mlp_causal,1,9,9,False,position_only
True,causal_contextual_topk1_control,4.179549217224121,3,3,3.0472347736358643,1.0,63,3.7357733249664307,-0.44377589225769043,0.6885385513305664,contextual_mlp_causal,1,21,21,False,past_context_only
