experiment_id,config_path,run_dir,residual_objective,pinned_support,support_stress,hep_update_clip_norm,hep_settling_objective,step,phase,base_loss,residual_loss,loss_delta_from_initial,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,status
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,28,residual_update,3.72165346,3.57664156,-0.14501190,,,,,,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,29,residual_update,3.72165346,3.57272887,-0.14892459,,,,,,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,30,residual_update,3.72165346,3.56889176,-0.15276170,,,,,,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,30,support_stress,3.72165346,4.63250589,0.91085243,,,,,,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,30,hep_sweep,3.72165346,4.63250589,0.91085243,0.00000000,4.63250589,0.00000000,0.63802083,0.00000000,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,30,hep_sweep,3.72165346,4.63250589,0.91085243,0.25000000,4.63263083,0.00063658,0.63802083,0.00139189,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,30,hep_sweep,3.72165346,4.63250589,0.91085243,0.50000000,4.63275480,0.00127077,0.63802083,0.00278187,ok
char_extended_hep_support_stress_entropy_clipped,configs/char_extended_hep_support_stress_entropy_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_entropy_clipped,supervised_ce,False,True,0.01,prediction_entropy_gradient,30,hep_sweep,3.72165346,4.63250589,0.91085243,1.00000000,4.63300562,0.00254011,0.63802083,0.00556183,ok
char_extended_hep_support_stress_temporal_clipped,configs/char_extended_hep_support_stress_temporal_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_temporal_clipped,supervised_ce,False,True,0.01,temporal_consistency_gradient,0,initial,3.72165346,3.72165346,0.00000000,,,,,,ok
char_extended_hep_support_stress_temporal_clipped,configs/char_extended_hep_support_stress_temporal_clipped.yaml,results/comparisons/colab_extended_support_stress_temporal_vs_entropy_guided_clipped_hep/runs/char_extended_hep_support_stress_temporal_clipped,supervised_ce,False,True,0.01,temporal_consistency_gradient,1,residual_update,3.72165346,3.71527934,-0.00637412,,,,,,ok
